藤田宜永,1950-4-12,
藤堂志津子,1949-3-14,
藤本ひとみ,1951-11-2,
藤野千夜,1962-2-27,
藤澤清造,1889-10-28,1932-1-29
堂場瞬一,1963-5-21,
童門冬二,1927-10-19,
徳永直,1899-1-20,1958-2-15
那須田淳,1959-6-20,
内田幹樹,1940-XX-XX,2006-12-5,
内田康夫,1934-11-15,
内田魯庵,1868-4-27,
南部修太郎,1892-10-12,1936-6-22
南木佳士,1951-10-13,
南里征典,1939-8-24,2008-1-18
南條範夫,1908-11-14,2004-10-30
難波利三,1936-9-25,
二葉亭四迷,--,
日影丈吉,1908-6-12,1991-9-22
日下圭介,1940-1-21,2006-2-12
日野啓三,1929-6-14,2002-10-14
乃南アサ,1960-8-19,
馬場孤蝶,1869-12-10,
梅崎春生,1915-2-15,1965-7-19
萩原葉子,1920-9-4,2005-7-1
白井喬二,1889-9-1,1980-11-9
薄井ゆうじ,1949-1-1,
畑山博,1935-5-18,2001-9-2
八切止夫,1914-12-22,1987-4-28
八木啓代,1962-1-13,
伴野朗,1936-7-16,2004-2-27
半村良,1933-10-27,2002-3-4
飯野文彦,1961-6-16,
飛鳥高,1921-2-12,
飛鳥部勝則,1964-10-18,
樋口一葉,1872-5-2,
樋口修吉,1938-3-2,2001-10-4
樋口有介,1950-7-5,
尾崎一雄,1899-12-25,1983-3-31
尾崎紅葉,1868-1-10,
尾崎士郎,1898-7-2,1964-2-19
尾崎翠,1896-12-20,1971-7-8
姫野カオルコ,1958-8-27,
氷室冴子,1957-1-11,2008-6-6
富岡多恵子,1935-7-28,
富士正晴,1913-10-30,1987-7-15
富田常雄,1904-1-1,1967-10-16
富島健夫,1931-10-25,1998-2-5
武者小路実篤,1885-5-12,1976-4-9
武田泰淳,1912-2-12,1976-10-5
武田麟太郎,1904-5-9,1946-3-31
服部真澄,1961-7-31,
福井晴敏,1968-11-15,
福永武彦,1918-3-19,1979-8-13
福本武久,1942-4-21,
平井和正,1938-5-13,
平岩弓枝,1932-3-15,
平谷美樹,1960-1-25,
平野啓一郎,1975-6-22,
平林たい子,1905-10-3,1972-2-17
平林初之輔,1892-11-8,1931-6-15
米原万里,1950-4-29,2006-5-25
米谷ふみ子,1930-11-15,
米澤穂信,1978年,
片岡義男,1940-3-20,
片山恭一,1959-1-5,
辺見庸,1944-9-27,
保坂和志,1956-10-15,
法月綸太郎,1964-10-15,
泡坂妻夫,1933-5-9,
豊田有恒,1938-5-25,
豊島ミホ,1982-2-15,
豊島与志雄,1890-11-27,1955-6-18
邦光史郎,1922-2-14,1996-8-11
